corruption_levels,cross_margin
0.0,"(0.6034926313832514,)"
0.0,"(0.6127493926709429,)"
0.0,"(0.6317019920550433,)"
0.0,"(0.40200008396138753,)"
0.0,"(0.433987471280889,)"
0.0,"(0.3563198824084504,)"
0.0,"(0.5770192119987648,)"
0.0,"(0.5712416024031222,)"
0.0,"(0.4928080055500537,)"
0.0,"(0.5794950268607962,)"
0.0,"(0.43141290762497303,)"
0.0,"(0.593809837790717,)"
0.0,"(0.571762555824328,)"
0.0,"(0.5273790036422176,)"
0.0,"(0.5185914254446028,)"
0.0,"(0.4776091030664551,)"
0.0,"(0.562993866429549,)"
0.0,"(0.49164397681530003,)"
0.0,"(0.5613570331404925,)"
0.0,"(0.594000564814143,)"
0.0,"(0.5533304377466678,)"
0.0,"(0.47777901584370114,)"
0.0,"(-0.29331184076372485,)"
0.0,"(0.5359987194354269,)"
0.0,"(0.5544940557916436,)"
0.0,"(0.5861582969245918,)"
0.0,"(0.5071604056453624,)"
0.0,"(0.5600904546501938,)"
0.0,"(0.49707703353902505,)"
0.0,"(0.5695907633349196,)"
0.0,"(0.5955397632279839,)"
0.0,"(0.5937440484212922,)"
0.0,"(0.4551277064137945,)"
0.0,"(0.4849498912654578,)"
0.0,"(0.5724768919825102,)"
0.0,"(0.5948034645992564,)"
0.0,"(0.5205216766073623,)"
0.0,"(0.5792776069392349,)"
0.0,"(0.5812921622405668,)"
0.0,"(0.5479869855126576,)"
0.0,"(-0.5966444273690075,)"
0.0,"(0.5559697438490144,)"
0.0,"(0.578092857081587,)"
0.0,"(0.5843241726385421,)"
0.0,"(0.5977332334567327,)"
0.0,"(0.510903600051986,)"
0.0,"(0.5762077553709865,)"
0.0,"(0.5599166723495502,)"
0.0,"(0.5616927598137745,)"
0.0,"(0.47746889624963307,)"
0.0,"(0.4403244689042572,)"
0.0,"(0.5354182640316999,)"
0.0,"(0.5746018093939279,)"
0.0,"(0.5938939939079565,)"
0.0,"(0.5440946368351705,)"
0.0,"(0.5708876735794416,)"
0.0,"(0.4527187760491476,)"
0.0,"(0.5738346893082301,)"
0.0,"(0.5737149547338083,)"
0.0,"(0.5929494390427343,)"
0.0,"(0.5223112865852618,)"
0.0,"(0.504816997624938,)"
0.0,"(0.5211300574441843,)"
0.0,"(0.5652285508699786,)"
0.0,"(0.5478593623325021,)"
0.0,"(0.5379555224835124,)"
0.0,"(0.5359483454814474,)"
0.0,"(0.48527826349506503,)"
0.0,"(0.5782555058554489,)"
0.0,"(0.49302818750275956,)"
0.0,"(0.5469821836085609,)"
0.0,"(0.5479057463213661,)"
0.0,"(0.5289801280862438,)"
0.0,"(0.5920541567481009,)"
0.0,"(0.5702526674204095,)"
0.0,"(0.42827826218554055,)"
0.0,"(0.5904240897670672,)"
0.0,"(0.5890327470936313,)"
0.0,"(0.5571023238337734,)"
0.0,"(0.5495227847157513,)"
0.0,"(0.5113368370418927,)"
0.0,"(-0.382214160533724,)"
0.0,"(0.431520094964688,)"
0.0,"(0.3438716663861516,)"
0.0,"(0.5510308209301559,)"
0.0,"(0.5835168527578573,)"
0.0,"(0.4785784461591404,)"
0.0,"(0.5768009341030438,)"
0.0,"(0.5636819447695306,)"
0.0,"(0.5533669605582363,)"
0.0,"(0.5808514433296146,)"
0.0,"(0.556551641877767,)"
0.0,"(0.5070843267215773,)"
0.0,"(0.49601535878249714,)"
0.0,"(0.5747141346348551,)"
0.0,"(0.43141402043019295,)"
0.0,"(0.5251947558822122,)"
0.0,"(0.526877674161616,)"
0.0,"(0.5072901539914143,)"
0.0,"(0.5915581611098849,)"
0.0,"(0.5772767910457659,)"
0.0,"(0.506478629032047,)"
0.0,"(0.43137451402538346,)"
0.0,"(0.4313695984000187,)"
0.0,"(0.5827437949418512,)"
0.0,"(0.5687043086968958,)"
0.0,"(0.5211050286114565,)"
0.0,"(0.41953909567331,)"
0.0,"(0.5520071336971889,)"
0.0,"(0.5940959888613431,)"
0.0,"(0.5907275047317517,)"
