corruption_levels,cross_margin
0.0,"(0.01310851308985828,)"
0.0,"(0.2442755278832305,)"
0.0,"(-0.07208408314565261,)"
0.0,"(0.23227985384454503,)"
0.0,"(0.013693085380549806,)"
0.0,"(0.24802803712439125,)"
0.0,"(0.3841175810077877,)"
0.0,"(-0.40229076578860706,)"
0.0,"(0.2265513306110082,)"
0.0,"(0.3702559765538459,)"
0.0,"(0.1952494765213379,)"
0.0,"(0.09127327423163219,)"
0.0,"(-0.17656010382873416,)"
0.0,"(0.26780096429792827,)"
0.0,"(-0.27492020405864365,)"
0.0,"(0.26207995174893584,)"
0.0,"(0.36460917479946264,)"
0.0,"(0.4343922184347999,)"
0.0,"(0.27781998926939167,)"
0.0,"(0.08967233263746635,)"
0.0,"(0.24423231736896103,)"
0.0,"(-0.22407958497585556,)"
0.0,"(0.30819041711978806,)"
0.0,"(0.34524737842889625,)"
0.0,"(-0.12973254723058938,)"
0.0,"(0.43483639496772986,)"
0.0,"(-0.27667285997574614,)"
0.0,"(0.06720057638128742,)"
0.0,"(0.2489647689188389,)"
0.0,"(0.328414907999257,)"
0.0,"(-0.27316817340280297,)"
0.0,"(0.1309768310797381,)"
0.0,"(0.40494249283512757,)"
0.0,"(0.3774396718013296,)"
0.0,"(0.3821146917056404,)"
0.0,"(-0.04158764509450241,)"
0.0,"(0.507927755712717,)"
0.0,"(0.38557131283445384,)"
0.0,"(0.23329360042975505,)"
0.0,"(0.10381545203009025,)"
0.0,"(0.2443238597204186,)"
0.0,"(0.47484751207002834,)"
0.0,"(-0.02311691337796426,)"
0.0,"(0.40797842519358274,)"
0.0,"(0.19572356055989068,)"
0.0,"(-0.05702895996537236,)"
0.0,"(0.446190257594074,)"
0.0,"(0.30503225166149733,)"
0.0,"(-0.27460100490135747,)"
0.0,"(0.3548330761544547,)"
0.0,"(-0.05976388058351036,)"
0.0,"(0.3542798805772943,)"
0.0,"(0.07447297185492419,)"
0.0,"(0.3381137314725394,)"
0.0,"(0.34229390782780644,)"
0.0,"(0.1894481000718268,)"
0.0,"(0.23294876783404153,)"
0.0,"(0.27180226132152574,)"
0.0,"(0.5337897991935333,)"
0.0,"(-0.010929149691081611,)"
0.0,"(0.2597234379825795,)"
0.0,"(0.28899444286727244,)"
0.0,"(0.18445313764882842,)"
0.0,"(0.28077933080074835,)"
0.0,"(-0.041252419173905465,)"
0.0,"(0.23152837732508658,)"
0.0,"(0.3362549461529304,)"
0.0,"(0.3439053965974157,)"
0.0,"(0.05042671847700061,)"
0.0,"(0.16533780665122028,)"
0.0,"(-0.2195446941327982,)"
0.0,"(0.12459915120812064,)"
0.0,"(0.5586222466584786,)"
0.0,"(0.260672727054258,)"
0.0,"(0.00868473541133075,)"
0.0,"(0.26155470724469676,)"
0.0,"(0.25813249236120245,)"
0.0,"(-0.3019339842409715,)"
0.0,"(-0.00651881578779751,)"
0.0,"(0.2200219430523474,)"
0.0,"(0.2613971881954712,)"
0.0,"(0.4673091834812685,)"
0.0,"(-0.10202769902203744,)"
0.0,"(0.29065893021452915,)"
0.0,"(0.26180895964809364,)"
0.0,"(0.24178875049298015,)"
0.0,"(-0.2813765279992165,)"
