corruption_levels,cross_margin
0.0,"(0.26968414211419406,)"
0.0,"(-0.2674289632445198,)"
0.0,"(0.3029497521272537,)"
0.0,"(-0.050361860424000975,)"
0.0,"(0.02235525803999467,)"
0.0,"(0.2527085151840997,)"
0.0,"(0.11374250057618818,)"
0.0,"(0.34174863707730413,)"
0.0,"(0.2938266559025735,)"
0.0,"(0.2834567432750501,)"
0.0,"(-0.012889457185119427,)"
0.0,"(0.01251297382778952,)"
0.0,"(0.42675849195063004,)"
0.0,"(0.4385676705209523,)"
0.0,"(0.2915099250762231,)"
0.0,"(0.038457675845348135,)"
0.0,"(0.3608877625923122,)"
0.0,"(0.2586545687659735,)"
0.0,"(-0.24258753692015245,)"
0.0,"(-0.03564339844091981,)"
0.0,"(0.2842712936730276,)"
0.0,"(0.06348445945332655,)"
0.0,"(0.35565456305037424,)"
0.0,"(0.2881690141339723,)"
0.0,"(0.20141507058001953,)"
0.0,"(0.4003026200239255,)"
0.0,"(0.3472960552192172,)"
0.0,"(0.09601469376918041,)"
0.0,"(0.11008711658847056,)"
0.0,"(0.2667950137240987,)"
0.0,"(0.2761302074142485,)"
0.0,"(-0.17300342829529278,)"
0.0,"(0.2745206793222718,)"
0.0,"(0.5589703810221041,)"
0.0,"(0.18446153189039613,)"
0.0,"(0.450237060640837,)"
0.0,"(-0.11071725494754628,)"
0.0,"(0.22070176927160085,)"
0.0,"(0.3912659451657908,)"
0.0,"(0.13582415555529792,)"
0.0,"(0.30224077313997233,)"
0.0,"(0.10919637555269147,)"
0.0,"(-0.20483922830720722,)"
0.0,"(0.45114127139776433,)"
0.0,"(0.4799275340330558,)"
0.0,"(0.12640840851455074,)"
0.0,"(0.3060916899473186,)"
0.0,"(0.061961454214797006,)"
0.0,"(0.2557140126269854,)"
0.0,"(0.3565573740150258,)"
0.0,"(0.5357211754891863,)"
0.0,"(0.02993694768347294,)"
0.0,"(0.3037858252823693,)"
0.0,"(0.3727157515416687,)"
0.0,"(0.3207744853272692,)"
0.0,"(0.47587376297408457,)"
0.0,"(0.2691731905710395,)"
0.0,"(0.49085820657660484,)"
0.0,"(0.4839159018619564,)"
0.0,"(0.14467592947215596,)"
0.0,"(0.39550774797597493,)"
0.0,"(0.350660931365573,)"
0.0,"(0.18286950241935043,)"
0.0,"(-0.19511003683742154,)"
0.0,"(0.27204844710271847,)"
0.0,"(0.16390339630905418,)"
0.0,"(0.37903058141344514,)"
0.0,"(0.2847240660111015,)"
0.0,"(0.1029709589910758,)"
0.0,"(-0.03652073228047796,)"
0.0,"(0.42842808231559204,)"
0.0,"(0.28189644618455023,)"
0.0,"(0.41886837382516406,)"
0.0,"(0.4787383595780718,)"
0.0,"(0.31759443172895946,)"
0.0,"(0.13513009174309373,)"
0.0,"(0.3419007257276602,)"
0.0,"(0.3472273433428835,)"
0.0,"(-0.06921352564011189,)"
0.0,"(0.30130270224250705,)"
0.0,"(0.35719213273807243,)"
0.0,"(0.29995978017328817,)"
0.0,"(0.3749979412511071,)"
0.0,"(0.31796058928080323,)"
0.0,"(0.27946658868611096,)"
0.0,"(0.09902171510294991,)"
0.0,"(0.31197996251309795,)"
0.0,"(0.4086261453925968,)"
0.0,"(0.41358578918220656,)"
0.0,"(-0.19159601636089715,)"
0.0,"(-0.2587244408592348,)"
0.0,"(0.5475593188431656,)"
0.0,"(0.4099972616393777,)"
0.0,"(0.32973321386635485,)"
0.0,"(0.37687870323575867,)"
0.0,"(0.45380065230525996,)"
0.0,"(0.4363280251223009,)"
0.0,"(0.2555209678728694,)"
0.0,"(0.1800916373657698,)"
0.0,"(-0.3167636856403666,)"
0.0,"(0.051222281762902055,)"
