corruption_levels,cross_margin
0.0,"(-2.7615685795128937,)"
0.0,"(2.7581410267947,)"
0.0,"(2.746095062625696,)"
0.0,"(-2.7491383571589223,)"
0.0,"(2.7493411812383943,)"
0.0,"(2.746095062625696,)"
0.0,"(2.752375647440365,)"
0.0,"(-2.7547920690063865,)"
0.0,"(2.7357982635416276,)"
0.0,"(-2.735708224663388,)"
0.0,"(2.758611630350355,)"
0.0,"(-2.7513338324480467,)"
0.0,"(-2.7484227937167596,)"
0.0,"(-2.7528371106870777,)"
0.0,"(-2.7491498696328676,)"
0.0,"(2.7498881319392736,)"
0.0,"(2.743049034552349,)"
0.0,"(-2.751203833886002,)"
0.0,"(2.7633603955797295,)"
0.0,"(2.46681285322391,)"
0.0,"(2.7614663117136,)"
0.0,"(2.753256423496325,)"
0.0,"(2.750586900515473,)"
0.0,"(-2.7525063975380455,)"
0.0,"(-2.7538880718758914,)"
0.0,"(-2.7510064740390274,)"
0.0,"(2.754513256635562,)"
0.0,"(2.7440235272214615,)"
0.0,"(2.749944893364527,)"
0.0,"(2.7524052153125225,)"
0.0,"(2.7499216960811306,)"
0.0,"(2.7616624783973283,)"
0.0,"(-2.7503968945924413,)"
0.0,"(2.7487614848633197,)"
0.0,"(2.749320589003011,)"
0.0,"(2.749320589003011,)"
0.0,"(2.7509271223157854,)"
0.0,"(2.751628618104101,)"
0.0,"(2.7599962629796515,)"
0.0,"(-2.7510558677529007,)"
0.0,"(-2.750338955927878,)"
0.0,"(2.753665632642448,)"
0.0,"(2.7430677406519175,)"
0.0,"(2.7482030762228957,)"
0.0,"(2.751082067640833,)"
0.0,"(2.751082067640833,)"
0.0,"(-2.739512330133794,)"
0.0,"(2.738221983901255,)"
0.0,"(2.759709165941242,)"
0.0,"(2.7592877969129477,)"
0.0,"(-2.741547518246437,)"
0.0,"(2.7424630135123813,)"
0.0,"(-2.7471180257433647,)"
0.0,"(2.7500936189446197,)"
0.0,"(2.7493275955331518,)"
0.0,"(2.7510787933930008,)"
0.0,"(2.743922275172541,)"
0.0,"(2.7500936189446197,)"
0.0,"(-2.484822754884512,)"
0.0,"(2.746893638006399,)"
0.0,"(2.7495268581677155,)"
0.0,"(2.7599125849246127,)"
0.0,"(-2.744268631001019,)"
0.0,"(-2.7513063672679774,)"
0.0,"(-2.7507354652410583,)"
0.0,"(-2.744268631001019,)"
0.0,"(2.749327412028875,)"
0.0,"(2.751236264486835,)"
0.0,"(2.7087141434767967,)"
0.0,"(2.750520943430192,)"
0.0,"(2.7521296603804575,)"
0.0,"(2.756233285246115,)"
0.0,"(2.758325542549046,)"
0.0,"(-2.7378668211938115,)"
0.0,"(2.750421142145991,)"
0.0,"(-2.7520989266634066,)"
0.0,"(-2.747876466302446,)"
0.0,"(-2.7507471608152483,)"
0.0,"(-2.753441685061123,)"
0.0,"(-2.7478245857367862,)"
0.0,"(2.750196587410594,)"
0.0,"(-2.753441685061123,)"
0.0,"(2.7615833736827047,)"
0.0,"(2.7513003764147634,)"
0.0,"(2.7505863098300716,)"
0.0,"(2.751341859852838,)"
0.0,"(2.7762909013792387,)"
0.0,"(2.77642674382054,)"
0.0,"(-2.751656355319016,)"
0.0,"(2.749597705819533,)"
0.0,"(2.756330197709197,)"
0.0,"(2.588234553874341,)"
0.0,"(-2.75281712109944,)"
0.0,"(2.7508247930482272,)"
0.0,"(2.7452861386408007,)"
0.0,"(2.752551422607363,)"
0.0,"(2.754565951112971,)"
0.0,"(2.7508247930482272,)"
0.0,"(2.7452861386408007,)"
0.0,"(-2.463951089277244,)"
0.0,"(2.753886016685165,)"
0.0,"(-2.463951089277244,)"
0.0,"(2.7546161371709084,)"
0.0,"(2.687502442455019,)"
0.0,"(-2.7435753431072047,)"
0.0,"(-2.754595703049379,)"
0.0,"(-2.7507811187831215,)"
0.0,"(2.749688930825253,)"
0.0,"(2.734367719472164,)"
0.0,"(2.734367719472164,)"
0.0,"(2.7558209934561266,)"
0.0,"(2.7551508040480304,)"
0.0,"(-2.742548528450622,)"
0.0,"(2.7564089289622946,)"
0.0,"(2.745178341752296,)"
0.0,"(-2.750559735457083,)"
0.0,"(2.7509534924773336,)"
0.0,"(2.7510451668546643,)"
0.0,"(2.759487518387316,)"
0.0,"(2.732925044771316,)"
0.0,"(2.750201707257637,)"
0.0,"(2.743870738369698,)"
0.0,"(2.7720249270809103,)"
0.0,"(-2.7461234022454297,)"
0.0,"(-2.7247240534716286,)"
0.0,"(2.7507785819417747,)"
0.0,"(2.7481404867905916,)"
0.0,"(-2.7497203622244495,)"
0.0,"(2.743025761982094,)"
0.0,"(2.7509789287650523,)"
0.0,"(2.7491922571602,)"
0.0,"(2.756254874626772,)"
0.0,"(2.7512339076503034,)"
0.0,"(2.7608571927838175,)"
0.0,"(2.760469618975569,)"
0.0,"(2.761217386725151,)"
0.0,"(-2.743541837377459,)"
0.0,"(2.752342630431874,)"
0.0,"(2.7499862010107456,)"
0.0,"(2.7499862010107456,)"
0.0,"(2.7596010920734355,)"
0.0,"(2.7486122511509627,)"
0.0,"(-2.7262364229006755,)"
0.0,"(-2.5456907737893526,)"
0.0,"(2.7229074849736454,)"
0.0,"(1.0925018117361163,)"
0.0,"(1.084553357425126,)"
0.0,"(-0.9053291170412404,)"
0.0,"(1.0925018117361163,)"
0.0,"(1.077365327312416,)"
0.0,"(1.075028914929415,)"
0.0,"(-0.9699856517187188,)"
0.0,"(-1.0988433066583243,)"
0.0,"(1.0936569449286777,)"
0.0,"(1.0463961920668958,)"
0.0,"(1.0936569449286777,)"
0.0,"(1.0455996205050873,)"
0.0,"(0.97387878794554,)"
0.0,"(1.0775884983234403,)"
0.0,"(-1.0928722126913155,)"
0.0,"(0.9082457799573264,)"
0.0,"(1.0875830074674182,)"
0.0,"(-0.8881667991993172,)"
0.0,"(1.0625243144114556,)"
0.0,"(1.0774920731632671,)"
0.0,"(-1.0401380662929511,)"
0.0,"(1.0379716830496113,)"
0.0,"(1.0815799648225022,)"
0.0,"(1.0625243144114556,)"
0.0,"(1.0633887099751138,)"
0.0,"(-1.1055413297649472,)"
0.0,"(1.0067789532753573,)"
0.0,"(-0.9736181328504304,)"
0.0,"(1.1112199839083754,)"
0.0,"(-1.08402950613602,)"
0.0,"(1.0037196812542954,)"
0.0,"(-1.0846060290746513,)"
0.0,"(-1.0929292251482445,)"
0.0,"(1.003227738316339,)"
0.0,"(1.1018309269251982,)"
0.0,"(1.1018309269251982,)"
0.0,"(1.0762603081491273,)"
0.0,"(-1.0459672028833031,)"
0.0,"(1.0864374912160115,)"
0.0,"(1.1207915197202758,)"
0.0,"(0.7996819639553011,)"
0.0,"(1.1264535636025717,)"
0.0,"(1.0601377164387997,)"
0.0,"(1.0521498139175773,)"
0.0,"(-1.050604283364951,)"
0.0,"(1.1222977954430597,)"
0.0,"(1.0845737550591217,)"
0.0,"(0.8232137194027882,)"
0.0,"(-1.068398253408329,)"
0.0,"(1.105970311664514,)"
0.0,"(1.1304764859127079,)"
0.0,"(-1.0815936598067255,)"
0.0,"(0.9904470667703787,)"
0.0,"(0.9904470667703787,)"
0.0,"(1.0732423486401093,)"
0.0,"(1.018827618191528,)"
0.0,"(1.1291748854507546,)"
0.0,"(-1.0847410847970504,)"
0.0,"(-1.083787291510666,)"
0.0,"(1.0667437512313291,)"
0.0,"(1.0600364694123385,)"
0.0,"(1.1076292121460458,)"
0.0,"(1.1076292121460458,)"
0.0,"(-0.9400281348353621,)"
0.0,"(0.9776118477604525,)"
0.0,"(1.125190114349844,)"
0.0,"(1.0821237712862357,)"
0.0,"(0.8360547455171313,)"
0.0,"(1.1154111879847417,)"
0.0,"(0.9828093443855086,)"
0.0,"(-1.0799379435507628,)"
0.0,"(1.0009845019478905,)"
0.0,"(-0.9906213536338004,)"
0.0,"(1.1051716800566702,)"
0.0,"(1.0774404578103736,)"
0.0,"(-0.9906213536338004,)"
0.0,"(1.0836352884586848,)"
0.0,"(1.1382967116215972,)"
0.0,"(-0.45627302558048655,)"
0.0,"(0.9885737190156096,)"
0.0,"(1.0838245776263953,)"
0.0,"(1.1392154132746493,)"
0.0,"(-1.0895022241514787,)"
0.0,"(-1.0715917835615814,)"
0.0,"(1.0786698450917511,)"
0.0,"(1.09345987097252,)"
0.0,"(-1.131085590613461,)"
0.0,"(1.1055364428308454,)"
0.0,"(1.0872041246181445,)"
0.0,"(1.107083064604304,)"
0.0,"(1.1120914961537536,)"
0.0,"(-1.0237142641612107,)"
0.0,"(1.0872041246181445,)"
0.0,"(-1.0934686867068713,)"
0.0,"(-1.090519495691736,)"
0.0,"(-1.084757722178029,)"
0.0,"(-1.0345402080698238,)"
0.0,"(1.0857052882079914,)"
0.0,"(1.135540543515616,)"
0.0,"(1.092082178575222,)"
0.0,"(1.0594539203742093,)"
0.0,"(1.0812332969452245,)"
0.0,"(1.2426760255438807,)"
0.0,"(1.2388147498442836,)"
0.0,"(-1.0874548094315335,)"
0.0,"(1.077631727891534,)"
0.0,"(1.077631727891534,)"
0.0,"(-0.9547277195823655,)"
0.0,"(1.0938121767644153,)"
0.0,"(1.070053362371731,)"
0.0,"(1.088563581466031,)"
0.0,"(1.0750309705033445,)"
0.0,"(1.0774404523051908,)"
0.0,"(1.0938121767644153,)"
0.0,"(1.070053362371731,)"
0.0,"(-0.5152863136244232,)"
0.0,"(1.0689681885728965,)"
0.0,"(-0.5152863136244232,)"
0.0,"(1.1179875551485159,)"
0.0,"(1.3012273098290945,)"
0.0,"(1.0573828284679954,)"
0.0,"(-0.9852652035688892,)"
0.0,"(-1.0732589012433316,)"
0.0,"(1.0771461658458465,)"
0.0,"(1.0771461658458465,)"
0.0,"(1.0944287631533975,)"
0.0,"(1.0963564143614588,)"
0.0,"(1.0944287631533975,)"
0.0,"(1.0778955683792655,)"
0.0,"(-1.0151157882101567,)"
0.0,"(1.0437337954979087,)"
0.0,"(-1.0584960404643962,)"
0.0,"(1.0731908054141166,)"
0.0,"(1.076313855189146,)"
0.0,"(1.1212749500085162,)"
0.0,"(1.0478418499054045,)"
0.0,"(-0.9364742245558964,)"
0.0,"(0.9263865143585054,)"
0.0,"(1.144944774336003,)"
0.0,"(-1.0481001235966976,)"
0.0,"(-1.0481001235966976,)"
0.0,"(-1.0317791095944309,)"
0.0,"(1.0768803065524606,)"
0.0,"(1.0768803065524606,)"
0.0,"(-1.0411551336468083,)"
0.0,"(1.1053722448023897,)"
0.0,"(1.055800479759315,)"
0.0,"(0.9856963170503173,)"
