"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"36","98.89425648671353","102.72694660900925","0.006591796875","0.007568359375","0.005615234375","1560","0.0006077960253652511","24","0.0006077960253652511","0","0.0006077960253652511","0.0006077960253652511","41:68;21:68","41:0.0030066918742787108;21:0.00791112747594655","41:0.00294408801052487;21:0.005246135465578866","0.006591796875","Yes"
"37","170.90421038078554","191.8379539791893","0.0113525390625","0.011962890625","0.0107421875","1560","0.00033929564768458097","24","0.00033929564768458097","0","0.00033929564768458097","0.00033929564768458097","45:68;25:68","45:0.0019213913217816236;25:0.002694991701158972","45:0.002163655719775559;25:0.0018833515932566713","0.0113525390625","Yes"
"38","126.79693857321482","152.04182261959602","0.01416015625","0.01416015625","0.01416015625","1560","0.0003111579129338222","24","0.0003111579129338222","0","0.0003111579129338222","0.0003111579129338222","29:68;49:68","29:0.0017838705411099554;49:0.0029227602286373","29:0.0027043221490575253;49:0.0029350292690370205","0.01416015625","Yes"
"39","132.50273330846048","136.87815232998915","0.0162353515625","0.01953125","0.012939453125","1560","0.0006651752974900143","24","0.0006651752974900143","0","0.0006651752974900143","0.0006651752974900143","53:68;33:68","53:0.008062883531106069;33:0.001928397350360156","53:0.00483339315588735;33:0.002001512297689023","0.0162353515625","Yes"
"40","188.8215569419823","205.46174876266187","0.0194091796875","0.019775390625","0.01904296875","1560","0.00025043743656380713","24","0.00025043743656380713","0","0.00025043743656380713","0.00025043743656380713","41:68","41:0.0031818253871338797","41:0.0024184383268530674","0.0194091796875","Yes"
"41","184.57177472323332","125.20282168547875","0.0985107421875","0.108642578125","0.08837890625","1560","0.00016400765271138752","24","0.00016400765271138752","0","0.00016400765271138752","0.00016400765271138752","40:68;42:68;36:68","40:0.0031818253871338797;42:0.0035671642709297624;36:0.0030066918742787108","40:0.0024184383268530674;42:0.002622950071271113;36:0.00294408801052487","0.0985107421875","Yes"
"42","202.50518300546688","48.146669741813774","0.0086669921875","0.01025390625","0.007080078125","1560","0.0002667002804932784","24","0.0002667002804932784","0","0.0002667002804932784","0.0002667002804932784","41:68;43:68","41:0.0035671642709297624;43:0.002945778685833289","41:0.002622950071271113;43:0.006274757962304256","0.0086669921875","Yes"
"43","161.05137578661538","76.01613385225497","0.129150390625","0.120849609375","0.137451171875","1560","0.0005667158257402664","24","0.0005667158257402664","0","0.0005667158257402664","0.0005667158257402664","42:68;56:68;44:68","42:0.002945778685833289;56:0.003246798004713225;44:0.005820458664556827","42:0.006274757962304256;56:0.007218127378565337;44:0.03765357710350059","0.129150390625","Yes"
"44","170.97118044069532","180.01355344336557","0.008056640625","0.0068359375","0.005615234375","1560","0.0003263346437035562","24","0.0003263346437035562","0","0.0003263346437035562","0.0003263346437035562","45:68;43:68","45:0.002010452683636005;43:0.005820458664556827","45:0.00231034874226671;43:0.03765357710350059","0.008056640625","Yes"
"45","203.8222275935877","181.60321283902223","0.050048828125","0.051513671875","0.048583984375","1560","0.00031173582832967145","24","0.00031173582832967145","0","0.00031173582832967145","0.00031173582832967145","44:68;46:68;37:68","44:0.002010452683636005;46:0.003609613645320836;37:0.0019213913217816236","44:0.00231034874226671;46:0.003229694422392293;37:0.002163655719775559","0.050048828125","Yes"
"46","127.59775798132836","11.95841952878421","0.006103515625","0.009033203125","0.003173828125","1560","0.00047527374558961144","24","0.00047527374558961144","0","0.00047527374558961144","0.00047527374558961144","45:68;47:68","45:0.003609613645320836;47:0.0036671770381291324","45:0.003229694422392293;47:0.0024996289042096276","0.006103515625","Yes"
"47","129.11899408822845","51.1115405015272","0.0284423828125","0.029296875","0.027587890625","1560","0.0002535054796851533","24","0.0002535054796851533","0","0.0002535054796851533","0.0002535054796851533","48:68;57:68;46:68","48:0.0023425339508058585;57:0.026845165641916108;46:0.0036671770381291324","48:0.0016521671861076392;57:0.0036661220083920587;46:0.0024996289042096276","0.0284423828125","Yes"
"48","228.48506933518198","62.57879036030514","0.0079345703125","0.010498046875","0.00537109375","1560","0.00038159890876637034","24","0.00038159890876637034","0","0.00038159890876637034","0.00038159890876637034","47:68;49:68","47:0.0023425339508058585;49:0.0027138119960927187","47:0.0016521671861076392;49:0.0022564607651107405","0.0079345703125","Yes"
"49","164.24560555501617","47.06337976047375","0.0458984375","0.0419921875","0.0498046875","1560","0.0004820498176447067","24","0.0004820498176447067","0","0.0004820498176447067","0.0004820498176447067","48:68;50:68;38:68","48:0.0027138119960927187;50:0.002743265078173962;38:0.0029227602286373","48:0.0022564607651107405;50:0.0021768266500723776;38:0.0029350292690370205","0.0458984375","Yes"
"50","173.84075455140854","153.93099019751347","0.0059814453125","0.007080078125","0.0048828125","1560","0.00024052118334923973","24","0.00024052118334923973","0","0.00024052118334923973","0.00024052118334923973","49:68;51:68","49:0.002743265078173962;51:0.0024046338007519263","49:0.0021768266500723776;51:0.0021128389536373415","0.0059814453125","Yes"
"51","101.13161181873878","93.5413634633906","0.09130859375","0.087890625","0.0947265625","1560","0.0002867919340127508","24","0.0002867919340127508","0","0.0002867919340127508","0.0002867919340127508","50:68;52:68;58:68","50:0.0024046338007519263;52:0.0019548982774221235;58:0.00435736942192555","50:0.0021128389536373415;52:0.001641934219326624;58:0.001933296470051582","0.09130859375","Yes"
"52","116.40777881278608","98.82300270648737","0.0086669921875","0.012451171875","0.0048828125","1560","0.00023994231676705303","24","0.00023994231676705303","0","0.00023994231676705303","0.00023994231676705303","51:68;53:68","51:0.0019548982774221235;53:0.0031935378964996763","51:0.001641934219326624;53:0.002377849163721024","0.0086669921875","Yes"
